buyer_county,buyer_state,countyfips,count,dosage_unit,state,county,deaths,year,population,type,rate
ADDISON,VT,50001,23859,6928220,Vermont,"Addison County, VT",24,2014,36883,pills_per_person,187.8
ADJUNTAS,PR,,1379,611570,,,,,,death_per_100k,
ADJUNTAS,PR,,1379,611570,,,,,,pills_per_person,
AGUADA,PR,,909,423020,,,,,,death_per_100k,
AGUADA,PR,,909,423020,,,,,,pills_per_person,
AGUADILLA,PR,,4066,1924550,,,,,,death_per_100k,
AGUADILLA,PR,,4066,1924550,,,,,,pills_per_person,
AGUAS BUENAS,PR,,527,241520,,,,,,death_per_100k,
AGUAS BUENAS,PR,,527,241520,,,,,,pills_per_person,
AIBONITO,PR,,1314,1528330,,,,,,death_per_100k,
AIBONITO,PR,,1314,1528330,,,,,,pills_per_person,
AIKEN,SC,45003,151301,51907774,South Carolina,"Aiken County, SC",137,2014,162991,death_per_100k,84.1
AIKEN,SC,45003,151301,51907774,South Carolina,"Aiken County, SC",137,2014,162991,pills_per_person,318.5
AITKIN,MN,27001,17003,5040020,Minnesota,"Aitkin County, MN",11,2014,15964,death_per_100k,68.9
AITKIN,MN,27001,17003,5040020,Minnesota,"Aitkin County, MN",11,2014,15964,pills_per_person,315.7
ALACHUA,FL,12001,202649,77016881,Florida,"Alachua County, FL",99,2014,251759,death_per_100k,39.3
ALACHUA,FL,12001,202649,77016881,Florida,"Alachua County, FL",99,2014,251759,pills_per_person,305.9
ALAMANCE,NC,37001,128128,50068937,North Carolina,"Alamance County, NC",105,2014,153713,death_per_100k,68.3
ALAMANCE,NC,37001,128128,50068937,North Carolina,"Alamance County, NC",105,2014,153713,pills_per_person,325.7
ALAMEDA,CA,06001,622233,328672212.1,California,"Alameda County, CA",301,2014,1559308,death_per_100k,19.3
ALAMEDA,CA,06001,622233,328672212.1,California,"Alameda County, CA",301,2014,1559308,pills_per_person,210.8
ALAMOSA,CO,08003,29927,12366040,Colorado,"Alamosa County, CO",11,2014,16111,death_per_100k,68.3
ALAMOSA,CO,08003,29927,12366040,Colorado,"Alamosa County, CO",11,2014,16111,pills_per_person,767.6
ALBANY,NY,36001,179958,68883550,New York,"Albany County, NY",165,2014,306124,death_per_100k,53.9
ALBANY,NY,36001,179958,68883550,New York,"Albany County, NY",165,2014,306124,pills_per_person,225
ALBANY,WY,56001,23376,5861810,Wyoming,"Albany County, WY",16,2014,37220,death_per_100k,43
ALBANY,WY,56001,23376,5861810,Wyoming,"Albany County, WY",16,2014,37220,pills_per_person,157.5
ALBEMARLE,VA,51003,51748,22023620,Virginia,"Albemarle County, VA",27,2014,101883,death_per_100k,26.5
ALBEMARLE,VA,51003,51748,22023620,Virginia,"Albemarle County, VA",27,2014,101883,pills_per_person,216.2
ALCONA,MI,26001,9831,2965620,,,,2014,10657,death_per_100k,
ALCONA,MI,26001,9831,2965620,,,,2014,10657,pills_per_person,278.3
ALCORN,MS,28003,45421,28811840,,,,2014,37279,death_per_100k,
ALCORN,MS,28003,45421,28811840,,,,2014,37279,pills_per_person,772.9
ALEUTIANS EAST,AK,02013,2,400,,,,2014,3296,death_per_100k,
ALEUTIANS EAST,AK,02013,2,400,,,,2014,3296,pills_per_person,0.1
ALEUTIANS WEST,AK,02016,322,218000,,,,2014,5650,death_per_100k,
ALEUTIANS WEST,AK,02016,322,218000,,,,2014,5650,pills_per_person,38.6
ALEXANDER,IL,17003,2086,1267090,,,,2014,7821,death_per_100k,
ALEXANDER,IL,17003,2086,1267090,,,,2014,7821,pills_per_person,162
ALEXANDER,NC,37003,38741,13376640,North Carolina,"Alexander County, NC",52,2014,37175,death_per_100k,139.9
ALEXANDER,NC,37003,38741,13376640,North Carolina,"Alexander County, NC",52,2014,37175,pills_per_person,359.8
ALEXANDRIA CITY,VA,51510,49968,16927789,Virginia,"Alexandria city, VA",63,2014,146422,death_per_100k,43
ALEXANDRIA CITY,VA,51510,49968,16927789,Virginia,"Alexandria city, VA",63,2014,146422,pills_per_person,115.6
ALFALFA,OK,40003,3769,850160,,,,2014,5703,death_per_100k,
ALFALFA,OK,40003,3769,850160,,,,2014,5703,pills_per_person,149.1
ALGER,MI,26003,6687,3328310,,,,2014,9516,death_per_100k,
ALGER,MI,26003,6687,3328310,,,,2014,9516,pills_per_person,349.8
ALLAMAKEE,IA,19005,5420,2528600,,,,2014,14152,death_per_100k,
ALLAMAKEE,IA,19005,5420,2528600,,,,2014,14152,pills_per_person,178.7
ALLEGAN,MI,26005,65233,26892990,Michigan,"Allegan County, MI",82,2014,112266,death_per_100k,73
ALLEGAN,MI,26005,65233,26892990,Michigan,"Allegan County, MI",82,2014,112266,pills_per_person,239.5
ALLEGANY,MD,24001,102403,38884810,Maryland,"Allegany County, MD",84,2014,73976,death_per_100k,113.6
ALLEGANY,MD,24001,102403,38884810,Maryland,"Allegany County, MD",84,2014,73976,pills_per_person,525.6
ALLEGANY,NY,36003,35641,14401120,New York,"Allegany County, NY",24,2014,48387,death_per_100k,49.6
ALLEGANY,NY,36003,35641,14401120,New York,"Allegany County, NY",24,2014,48387,pills_per_person,297.6
ALLEGHANY,NC,37005,10373,3985390,North Carolina,"Alleghany County, NC",15,2014,10974,death_per_100k,136.7
ALLEGHANY,NC,37005,10373,3985390,North Carolina,"Alleghany County, NC",15,2014,10974,pills_per_person,363.2
ALLEGHANY,VA,51005,12650,4648650,Virginia,"Alleghany County, VA",10,2014,16133,death_per_100k,62
ALLEGHANY,VA,51005,12650,4648650,Virginia,"Alleghany County, VA",10,2014,16133,pills_per_person,288.1
ALLEGHENY,PA,42003,1162941,436843687.5,Pennsylvania,"Allegheny County, PA",1637,2014,1229172,death_per_100k,133.2
ALLEGHENY,PA,42003,1162941,436843687.5,Pennsylvania,"Allegheny County, PA",1637,2014,1229172,pills_per_person,355.4
ALLEN,IN,18003,273593,100496232,Indiana,"Allen County, IN",49,2014,360990,death_per_100k,13.6
ALLEN,IN,18003,273593,100496232,Indiana,"Allen County, IN",49,2014,360990,pills_per_person,278.4
ALLEN,KS,20001,23120,7037850,Kansas,"Allen County, KS",11,2014,13212,death_per_100k,83.3
ALLEN,KS,20001,23120,7037850,Kansas,"Allen County, KS",11,2014,13212,pills_per_person,532.7
ALLEN,KY,21003,13762,11987740,Kentucky,"Allen County, KY",19,2014,20219,death_per_100k,94
ALLEN,KY,21003,13762,11987740,Kentucky,"Allen County, KY",19,2014,20219,pills_per_person,592.9
ALLEN,LA,22003,34638,11576330,,,,2014,25691,death_per_100k,
ALLEN,LA,22003,34638,11576330,,,,2014,25691,pills_per_person,450.6
ALLEN,OH,39003,71873,30412320,Ohio,"Allen County, OH",42,2014,105562,death_per_100k,39.8
ALLEN,OH,39003,71873,30412320,Ohio,"Allen County, OH",42,2014,105562,pills_per_person,288.1
ALLENDALE,SC,45005,6700,2605710,,,,2014,10027,death_per_100k,
ALLENDALE,SC,45005,6700,2605710,,,,2014,10027,pills_per_person,259.9
ALPENA,MI,26007,42121,14517730,Michigan,"Alpena County, MI",22,2014,29242,death_per_100k,75.2
ALPENA,MI,26007,42121,14517730,Michigan,"Alpena County, MI",22,2014,29242,pills_per_person,496.5
ALPINE,CA,06003,13,7900,,,,2014,1202,death_per_100k,
ALPINE,CA,06003,13,7900,,,,2014,1202,pills_per_person,6.6
AMADOR,CA,06005,46715,24028790,California,"Amador County, CA",48,2014,37159,death_per_100k,129.2
AMADOR,CA,06005,46715,24028790,California,"Amador County, CA",48,2014,37159,pills_per_person,646.6
AMELIA,VA,51007,6063,2084850,,,,2014,12764,death_per_100k,
AMELIA,VA,51007,6063,2084850,,,,2014,12764,pills_per_person,163.3
AMHERST,VA,51009,16540,7661650,Virginia,"Amherst County, VA",13,2014,32237,death_per_100k,40.3
AMHERST,VA,51009,16540,7661650,Virginia,"Amherst County, VA",13,2014,32237,pills_per_person,237.7
AMITE,MS,28005,7919,2342410,,,,2014,12957,death_per_100k,
AMITE,MS,28005,7919,2342410,,,,2014,12957,pills_per_person,180.8
ANASCO,PR,,2080,780230,,,,,,death_per_100k,
ANASCO,PR,,2080,780230,,,,,,pills_per_person,
ANCHORAGE,AK,02020,232127,82314795,Alaska,"Anchorage Borough, AK",263,2014,298178,death_per_100k,88.2
ANCHORAGE,AK,02020,232127,82314795,Alaska,"Anchorage Borough, AK",263,2014,298178,pills_per_person,276.1
ANDERSON,KS,20003,5578,2033030,,,,2014,7962,death_per_100k,
ANDERSON,KS,20003,5578,2033030,,,,2014,7962,pills_per_person,255.3
ANDERSON,KY,21005,25337,10573710,Kentucky,"Anderson County, KY",26,2014,21664,death_per_100k,120
ANDERSON,KY,21005,25337,10573710,Kentucky,"Anderson County, KY",26,2014,21664,pills_per_person,488.1
ANDERSON,SC,45007,166899,82400048,South Carolina,"Anderson County, SC",52,2014,189763,death_per_100k,27.4
ANDERSON,SC,45007,166899,82400048,South Carolina,"Anderson County, SC",52,2014,189763,pills_per_person,434.2
ANDERSON,TN,47001,137477,56602510,Tennessee,"Anderson County, TN",107,2014,75346,death_per_100k,142
ANDERSON,TN,47001,137477,56602510,Tennessee,"Anderson County, TN",107,2014,75346,pills_per_person,751.2
ANDERSON,TX,48001,52610,21870900,Texas,"Anderson County, TX",28,2014,58084,death_per_100k,48.2
ANDERSON,TX,48001,52610,21870900,Texas,"Anderson County, TX",28,2014,58084,pills_per_person,376.5
ANDREW,MO,29003,12639,3215380,,,,2014,17373,death_per_100k,
ANDREW,MO,29003,12639,3215380,,,,2014,17373,pills_per_person,185.1
ANDREWS,TX,48003,8050,3525480,,,,2014,16126,death_per_100k,
ANDREWS,TX,48003,8050,3525480,,,,2014,16126,pills_per_person,218.6
ANDROSCOGGIN,ME,23001,92480,45453550,Maine,"Androscoggin County, ME",84,2014,107470,death_per_100k,78.2
ANDROSCOGGIN,ME,23001,92480,45453550,Maine,"Androscoggin County, ME",84,2014,107470,pills_per_person,422.9
ANGELINA,TX,48005,71414,37217444,Texas,"Angelina County, TX",23,2014,87433,death_per_100k,26.3
ANGELINA,TX,48005,71414,37217444,Texas,"Angelina County, TX",23,2014,87433,pills_per_person,425.7
ANNE ARUNDEL,MD,24003,441538,162931364,Maryland,"Anne Arundel County, MD",601,2014,550269,death_per_100k,109.2
ANNE ARUNDEL,MD,24003,441538,162931364,Maryland,"Anne Arundel County, MD",601,2014,550269,pills_per_person,296.1
ANOKA,MN,27003,186285,76403657,Minnesota,"Anoka County, MN",201,2014,336316,death_per_100k,59.8
ANOKA,MN,27003,186285,76403657,Minnesota,"Anoka County, MN",201,2014,336316,pills_per_person,227.2
ANSON,NC,37007,27886,8005940,North Carolina,"Anson County, NC",14,2014,26309,death_per_100k,53.2
ANSON,NC,37007,27886,8005940,North Carolina,"Anson County, NC",14,2014,26309,pills_per_person,304.3
ANTELOPE,NE,31003,2166,603720,,,,2014,6531,death_per_100k,
ANTELOPE,NE,31003,2166,603720,,,,2014,6531,pills_per_person,92.4
ANTRIM,MI,26009,17919,6359450,Michigan,"Antrim County, MI",21,2014,23368,death_per_100k,89.9
ANTRIM,MI,26009,17919,6359450,Michigan,"Antrim County, MI",21,2014,23368,pills_per_person,272.1
APACHE,AZ,04001,12268,6176655,Arizona,"Apache County, AZ",20,2014,72142,death_per_100k,27.7
APACHE,AZ,04001,12268,6176655,Arizona,"Apache County, AZ",20,2014,72142,pills_per_person,85.6
APPANOOSE,IA,19007,19303,4954380,,,,2014,12754,death_per_100k,
APPANOOSE,IA,19007,19303,4954380,,,,2014,12754,pills_per_person,388.5
APPLING,GA,13001,19583,7596160,,,,2014,18421,death_per_100k,
APPLING,GA,13001,19583,7596160,,,,2014,18421,pills_per_person,412.4
APPOMATTOX,VA,51011,15878,6556250,,,,2014,15137,death_per_100k,
APPOMATTOX,VA,51011,15878,6556250,,,,2014,15137,pills_per_person,433.1
ARANSAS,TX,48007,24830,9892900,Texas,"Aransas County, TX",35,2014,23889,death_per_100k,146.5
ARANSAS,TX,48007,24830,9892900,Texas,"Aransas County, TX",35,2014,23889,pills_per_person,414.1
ARAPAHOE,CO,08005,388054,131946960,Colorado,"Arapahoe County, CO",267,2014,596684,death_per_100k,44.7
ARAPAHOE,CO,08005,388054,131946960,Colorado,"Arapahoe County, CO",267,2014,596684,pills_per_person,221.1
ARCHER,TX,48009,8,800,,,,2014,8853,death_per_100k,
ARCHER,TX,48009,8,800,,,,2014,8853,pills_per_person,0.1
ARCHULETA,CO,08007,6817,2084320,,,,2014,12132,death_per_100k,
ARCHULETA,CO,08007,6817,2084320,,,,2014,12132,pills_per_person,171.8
ARECIBO,PR,,5497,3251350,,,,,,death_per_100k,
ARECIBO,PR,,5497,3251350,,,,,,pills_per_person,
ARENAC,MI,26011,17681,7978180,,,,2014,15564,death_per_100k,
ARENAC,MI,26011,17681,7978180,,,,2014,15564,pills_per_person,512.6
ARKANSAS,AR,05001,22061,9207800,,,,2014,18861,death_per_100k,
ARKANSAS,AR,05001,22061,9207800,,,,2014,18861,pills_per_person,488.2
ARLINGTON,VA,51013,54405,16543089,Virginia,"Arlington County, VA",56,2014,220173,death_per_100k,25.4
ARLINGTON,VA,51013,54405,16543089,Virginia,"Arlington County, VA",56,2014,220173,pills_per_person,75.1
ARMSTRONG,PA,42005,72799,24437320,Pennsylvania,"Armstrong County, PA",60,2014,68343,death_per_100k,87.8
ARMSTRONG,PA,42005,72799,24437320,Pennsylvania,"Armstrong County, PA",60,2014,68343,pills_per_person,357.6
ARMSTRONG,TX,48011,447,129230,,,,2014,1947,death_per_100k,
ARMSTRONG,TX,48011,447,129230,,,,2014,1947,pills_per_person,66.4
AROOSTOOK,ME,23003,70905,26656340,Maine,"Aroostook County, ME",31,2014,70653,death_per_100k,43.9
AROOSTOOK,ME,23003,70905,26656340,Maine,"Aroostook County, ME",31,2014,70653,pills_per_person,377.3
ARROYO,PR,,487,243930,,,,,,death_per_100k,
ARROYO,PR,,487,243930,,,,,,pills_per_person,
ASCENSION,LA,22005,116177,46392110,Louisiana,"Ascension Parish, LA",23,2014,112308,death_per_100k,20.5
ASCENSION,LA,22005,116177,46392110,Louisiana,"Ascension Parish, LA",23,2014,112308,pills_per_person,413.1
ASHE,NC,37009,32473,10390820,North Carolina,"Ashe County, NC",34,2014,27173,death_per_100k,125.1
ASHE,NC,37009,32473,10390820,North Carolina,"Ashe County, NC",34,2014,27173,pills_per_person,382.4
ASHLAND,OH,39005,22706,10407790,Ohio,"Ashland County, OH",27,2014,53202,death_per_100k,50.7
ASHLAND,OH,39005,22706,10407790,Ohio,"Ashland County, OH",27,2014,53202,pills_per_person,195.6
ASHLAND,WI,55003,17764,6151030,Wisconsin,"Ashland County, WI",11,2014,16065,death_per_100k,68.5
ASHLAND,WI,55003,17764,6151030,Wisconsin,"Ashland County, WI",11,2014,16065,pills_per_person,382.9
ASHLEY,AR,05003,31303,8065840,Arkansas,"Ashley County, AR",14,2014,21437,death_per_100k,65.3
ASHLEY,AR,05003,31303,8065840,Arkansas,"Ashley County, AR",14,2014,21437,pills_per_person,376.3
ASHTABULA,OH,39007,96997,37491910,Ohio,"Ashtabula County, OH",61,2014,100346,death_per_100k,60.8
ASHTABULA,OH,39007,96997,37491910,Ohio,"Ashtabula County, OH",61,2014,100346,pills_per_person,373.6
ASOTIN,WA,53003,31367,15228854,Washington,"Asotin County, WA",19,2014,21955,death_per_100k,86.5
ASOTIN,WA,53003,31367,15228854,Washington,"Asotin County, WA",19,2014,21955,pills_per_person,693.6
ASSUMPTION,LA,22007,7377,2397550,,,,2014,23170,death_per_100k,
ASSUMPTION,LA,22007,7377,2397550,,,,2014,23170,pills_per_person,103.5
ATASCOSA,TX,48013,42326,19490630,Texas,"Atascosa County, TX",15,2014,46343,death_per_100k,32.4
ATASCOSA,TX,48013,42326,19490630,Texas,"Atascosa County, TX",15,2014,46343,pills_per_person,420.6
ATCHISON,KS,20005,19350,7164630,,,,2014,16737,death_per_100k,
ATCHISON,KS,20005,19350,7164630,,,,2014,16737,pills_per_person,428.1
ATCHISON,MO,29005,4951,1494760,,,,2014,5520,death_per_100k,
ATCHISON,MO,29005,4951,1494760,,,,2014,5520,pills_per_person,270.8
ATHENS,OH,39009,58209,28262365,Ohio,"Athens County, OH",52,2014,64840,death_per_100k,80.2
ATHENS,OH,39009,58209,28262365,Ohio,"Athens County, OH",52,2014,64840,pills_per_person,435.9
ATKINSON,GA,13003,10178,4083770,,,,2014,8297,death_per_100k,
ATKINSON,GA,13003,10178,4083770,,,,2014,8297,pills_per_person,492.2
ATLANTIC,NJ,34001,247865,96022009,New Jersey,"Atlantic County, NJ",247,2014,275325,death_per_100k,89.7
ATLANTIC,NJ,34001,247865,96022009,New Jersey,"Atlantic County, NJ",247,2014,275325,pills_per_person,348.8
ATOKA,OK,40005,17136,5982260,Oklahoma,"Atoka County, OK",17,2014,13958,death_per_100k,121.8
ATOKA,OK,40005,17136,5982260,Oklahoma,"Atoka County, OK",17,2014,13958,pills_per_person,428.6
ATTALA,MS,28007,19901,6281540,,,,2014,19303,death_per_100k,
ATTALA,MS,28007,19901,6281540,,,,2014,19303,pills_per_person,325.4
AUDRAIN,MO,29007,22536,6606660,Missouri,"Audrain County, MO",12,2014,25637,death_per_100k,46.8
AUDRAIN,MO,29007,22536,6606660,Missouri,"Audrain County, MO",12,2014,25637,pills_per_person,257.7
AUDUBON,IA,19009,3413,835950,,,,2014,5935,death_per_100k,
AUDUBON,IA,19009,3413,835950,,,,2014,5935,pills_per_person,140.9
AUGLAIZE,OH,39011,30313,10771130,Ohio,"Auglaize County, OH",21,2014,45867,death_per_100k,45.8
AUGLAIZE,OH,39011,30313,10771130,Ohio,"Auglaize County, OH",21,2014,45867,pills_per_person,234.8
AUGUSTA,VA,51015,26201,13559680,Virginia,"Augusta County, VA",62,2014,73707,death_per_100k,84.1
AUGUSTA,VA,51015,26201,13559680,Virginia,"Augusta County, VA",62,2014,73707,pills_per_person,184
AUSTIN,TX,48015,21685,7143100,,,,2014,28724,death_per_100k,
AUSTIN,TX,48015,21685,7143100,,,,2014,28724,pills_per_person,248.7
AUTAUGA,AL,01001,62241,28673870,,,,2014,55136,death_per_100k,
AUTAUGA,AL,01001,62241,28673870,,,,2014,55136,pills_per_person,520.1
AVERY,NC,37011,27165,9384070,North Carolina,"Avery County, NC",21,2014,17739,death_per_100k,118.4
AVERY,NC,37011,27165,9384070,North Carolina,"Avery County, NC",21,2014,17739,pills_per_person,529
AVOYELLES,LA,22009,52802,18631890,,,,2014,41604,death_per_100k,
AVOYELLES,LA,22009,52802,18631890,,,,2014,41604,pills_per_person,447.8
BACA,CO,08009,2668,745740,,,,2014,3735,death_per_100k,
BACA,CO,08009,2668,745740,,,,2014,3735,pills_per_person,199.7
BACON,GA,13005,18955,10088890,,,,2014,11196,death_per_100k,
BACON,GA,13005,18955,10088890,,,,2014,11196,pills_per_person,901.1
BAILEY,TX,48017,4101,1372590,,,,2014,7084,death_per_100k,
BAILEY,TX,48017,4101,1372590,,,,2014,7084,pills_per_person,193.8
BAKER,FL,12003,30110,18265630,Florida,"Baker County, FL",25,2014,27057,death_per_100k,92.4
BAKER,FL,12003,30110,18265630,Florida,"Baker County, FL",25,2014,27057,pills_per_person,675.1
BAKER,GA,13007,5,1300,,,,2014,3342,death_per_100k,
BAKER,GA,13007,5,1300,,,,2014,3342,pills_per_person,0.4
BAKER,OR,41001,22513,9499650,Oregon,"Baker County, OR",20,2014,16049,death_per_100k,124.6
BAKER,OR,41001,22513,9499650,Oregon,"Baker County, OR",20,2014,16049,pills_per_person,591.9
BALDWIN,AL,01003,227232,97584324,Alabama,"Baldwin County, AL",105,2014,191205,death_per_100k,54.9
BALDWIN,AL,01003,227232,97584324,Alabama,"Baldwin County, AL",105,2014,191205,pills_per_person,510.4
BALDWIN,GA,13009,42423,16588909,Georgia,"Baldwin County, GA",13,2014,45854,death_per_100k,28.4
BALDWIN,GA,13009,42423,16588909,Georgia,"Baldwin County, GA",13,2014,45854,pills_per_person,361.8
BALLARD,KY,21007,6676,3390820,,,,2014,8274,death_per_100k,
BALLARD,KY,21007,6676,3390820,,,,2014,8274,pills_per_person,409.8
BALTIMORE,MD,24005,697162,278008156.4,Maryland,"Baltimore County, MD",1053,2014,817720,death_per_100k,128.8
BALTIMORE,MD,24005,697162,278008156.4,Maryland,"Baltimore County, MD",1053,2014,817720,pills_per_person,340
BALTIMORE CITY,MD,24510,366204,162968773,Maryland,"Baltimore city, MD",1513,2014,622271,death_per_100k,243.1
BALTIMORE CITY,MD,24510,366204,162968773,Maryland,"Baltimore city, MD",1513,2014,622271,pills_per_person,261.9
BAMBERG,SC,45009,14101,4708530,,,,2014,15649,death_per_100k,
BAMBERG,SC,45009,14101,4708530,,,,2014,15649,pills_per_person,300.9
BANDERA,TX,48019,7819,3731250,,,,2014,20642,death_per_100k,
BANDERA,TX,48019,7819,3731250,,,,2014,20642,pills_per_person,180.8
BANKS,GA,13011,14793,4853945,Georgia,"Banks County, GA",13,2014,18317,death_per_100k,71
BANKS,GA,13011,14793,4853945,Georgia,"Banks County, GA",13,2014,18317,pills_per_person,265
BANNOCK,ID,16005,72996,31120840,Idaho,"Bannock County, ID",35,2014,83394,death_per_100k,42
BANNOCK,ID,16005,72996,31120840,Idaho,"Bannock County, ID",35,2014,83394,pills_per_person,373.2
BARAGA,MI,26013,9599,3513190,,,,2014,8740,death_per_100k,
BARAGA,MI,26013,9599,3513190,,,,2014,8740,pills_per_person,402
BARBER,KS,20007,5090,1675360,,,,2014,4898,death_per_100k,
BARBER,KS,20007,5090,1675360,,,,2014,4898,pills_per_person,342
BARBOUR,AL,01005,33060,10719630,,,,2014,27119,death_per_100k,
BARBOUR,AL,01005,33060,10719630,,,,2014,27119,pills_per_person,395.3
BARBOUR,WV,54001,17556,7450470,West Virginia,"Barbour County, WV",12,2014,16723,death_per_100k,71.8
BARBOUR,WV,54001,17556,7450470,West Virginia,"Barbour County, WV",12,2014,16723,pills_per_person,445.5
BARCELONETA,PR,,1331,903190,,,,,,death_per_100k,
BARCELONETA,PR,,1331,903190,,,,,,pills_per_person,
BARNES,ND,38003,8188,2477720,,,,2014,11096,death_per_100k,
BARNES,ND,38003,8188,2477720,,,,2014,11096,pills_per_person,223.3
BARNSTABLE,MA,25001,156048,65081255,Massachusetts,"Barnstable County, MA",250,2014,215167,death_per_100k,116.2
BARNSTABLE,MA,25001,156048,65081255,Massachusetts,"Barnstable County, MA",250,2014,215167,pills_per_person,302.5
BARNWELL,SC,45011,27130,10046080,South Carolina,"Barnwell County, SC",14,2014,22287,death_per_100k,62.8
BARNWELL,SC,45011,27130,10046080,South Carolina,"Barnwell County, SC",14,2014,22287,pills_per_person,450.8
BARRANQUITAS,PR,,839,657740,,,,,,death_per_100k,
BARRANQUITAS,PR,,839,657740,,,,,,pills_per_person,
BARREN,KY,21009,66643,29267696,Kentucky,"Barren County, KY",22,2014,42691,death_per_100k,51.5
BARREN,KY,21009,66643,29267696,Kentucky,"Barren County, KY",22,2014,42691,pills_per_person,685.6
BARRON,WI,55005,37874,12590426,Wisconsin,"Barron County, WI",14,2014,45718,death_per_100k,30.6
BARRON,WI,55005,37874,12590426,Wisconsin,"Barron County, WI",14,2014,45718,pills_per_person,275.4
BARROW,GA,13013,69948,28478480,Georgia,"Barrow County, GA",56,2014,70873,death_per_100k,79
BARROW,GA,13013,69948,28478480,Georgia,"Barrow County, GA",56,2014,70873,pills_per_person,401.8
BARRY,MI,26015,32644,14030135,Michigan,"Barry County, MI",35,2014,59107,death_per_100k,59.2
BARRY,MI,26015,32644,14030135,Michigan,"Barry County, MI",35,2014,59107,pills_per_person,237.4
BARRY,MO,29009,58958,21169044,,,,2014,35681,death_per_100k,
BARRY,MO,29009,58958,21169044,,,,2014,35681,pills_per_person,593.3
BARTHOLOMEW,IN,18005,84534,46385644,Indiana,"Bartholomew County, IN",12,2014,78628,death_per_100k,15.3
